,Name,Team,Position,Age,Base Salary ,Contract length 
2019-2020,Stephen Curry,GSW, PG,32,"$40,231,758 ",
2019-2020,Russell Westbrook,HOU, PG,31,"$38,506,482 ",
2019-2020,Chris Paul,OKC, PG,35,"$38,506,482 ",
2019-2020,James Harden,HOU, SG,30,"$38,199,000 ",
2019-2020,John Wall,HOU, PG,29,"$38,199,000 ",
2019-2020,Kevin Durant,PHX, PF,31,"$38,199,000 ",
2019-2020,LeBron James,LAL, SF,35,"$37,436,858 ",
2019-2020,Kyle Lowry,TOR, PG,34,"$34,996,296 ",
2019-2020,Blake Griffin,DET, PF,31,"$34,449,964 ",
2019-2020,Kemba Walker,BOS, PG,30,"$32,742,000 ",
2019-2020,Klay Thompson,GSW, SG,29,"$32,742,000 ",
2019-2020,Kawhi Leonard,LAC, SF,29,"$32,742,000 ",
2019-2020,Jimmy Butler,MIA, SF,30,"$32,742,000 ",
2019-2020,Tobias Harris,PHI, PF,27,"$32,742,000 ",
2019-2020,Gordon Hayward,BOS, SF,30,"$32,700,690 ",
2019-2020,Mike Conley,UTA, PG,32,"$32,511,624 ",
2019-2020,Kyrie Irving,BKN, PG,28,"$31,742,000 ",
2019-2020,Khris Middleton,MIL, SF,28,"$30,603,448 ",
2019-2020,Paul George,LAC, F,30,"$30,560,700 ",
2019-2020,Paul Millsap,DEN, PF,35,"$30,350,000 ",
2019-2020,Damian Lillard,POR, PG,29,"$29,802,321 ",
2019-2020,Kevin Love,CLE, PF,31,"$28,942,830 ",
2019-2020,Nikola Vucevic,ORL, C,29,"$28,000,000 ",
2019-2020,Al Horford,PHI, C,34,"$28,000,000 ",
2019-2020,DeMar DeRozan,SAS, SF,30,"$27,739,975 ",
2019-2020,CJ McCollum,POR, SG,28,"$27,556,959 ",
2019-2020,Nikola Jokic,DEN, C,25,"$27,504,630 ",
2019-2020,Andrew Wiggins,GSW, SF,25,"$27,504,630 ",
2019-2020,Joel Embiid,PHI, C,26,"$27,504,630 ",
2019-2020,Kristaps Porzingis,DAL, C,24,"$27,285,000 ",
2019-2020,Karl-Anthony Towns,MIN, C,24,"$27,285,000 ",
2019-2020,D'Angelo Russell,MIN, PG,24,"$27,285,000 ",
2019-2020,Devin Booker,PHX, SG,23,"$27,285,000 ",
2019-2020,Otto Porter Jr.,CHI, SF,27,"$27,250,575 ",
2019-2020,Andre Drummond,CLE, C,26,"$27,093,019 ",
2019-2020,Bradley Beal,WAS, SG,27,"$27,093,019 ",
2019-2020,Anthony Davis,LAL, PF,27,"$27,093,018 ",
2019-2020,Hassan Whiteside,POR, C,31,"$27,093,017 ",
2019-2020,Jrue Holiday,NOP, PG,30,"$26,231,111 ",
2019-2020,LaMarcus Aldridge,SAS, C,34,"$26,000,000 ",
2019-2020,Giannis Antetokounmpo,MIL, PF,25,"$25,842,697 ",
2019-2020,Steven Adams,OKC, C,26,"$25,842,697 ",
2019-2020,Marc Gasol,TOR, C,35,"$25,595,700 ",
2019-2020,Nicolas Batum,CHA, PF,31,"$25,565,217 ",
2019-2020,Chandler Parsons,ATL, SF,31,"$25,102,511 ",
2019-2020,Harrison Barnes,SAC, SF,28,"$24,147,727 ",
2019-2020,Serge Ibaka,TOR, F,30,"$23,271,604 ",
2019-2020,Rudy Gobert,UTA, C,28,"$23,241,573 ",
2019-2020,Danilo Gallinari,OKC, PF,31,"$22,615,559 ",
2019-2020,Victor Oladipo,IND, SG,28,"$21,000,000 ",
