Year,Player,Team,Position,Age,Contract,BS,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS
2022-2023,Stephen Curry, GSW,PG,34,4,48070014,56,34.7,0.493,0.915,4.9,6.1,6.3,0.9,0.4,3.2,29.4
2022-2023,LeBron James, LAL,PF,38,2,44474988,55,35.5,0.5,0.768,2.2,8.3,6.8,0.9,0.6,3.2,28.9
2022-2023,Kevin Durant, PHX,SF,34,4,44119845,47,35.6,0.56,0.919,2,6.7,5,0.7,1.4,3.3,29.1
2022-2023,Bradley Beal, WAS,SG,29,5,43279250,50,33.5,0.506,0.842,1.6,3.9,5.4,0.9,0.7,2.9,23.2
2022-2023,Damian Lillard, POR,PG,32,4,42492492,58,36.3,0.463,0.914,4.2,4.8,7.3,0.9,0.3,3.3,32.2
2022-2023,Giannis Antetokounmpo, MIL,PF,28,5,42492492,63,32.1,0.553,0.645,0.7,11.8,5.7,0.8,0.8,3.9,31.1
2022-2023,Kawhi Leonard, LAC,SF,31,4,42492492,52,33.6,0.512,0.871,2,6.5,3.9,1.4,0.5,1.7,23.8
2022-2023,Paul George, LAC,SG,32,4,42492492,56,34.6,0.457,0.871,2.8,6.1,5.1,1.5,0.4,3.1,23.8
2022-2023,Klay Thompson, GSW,SG,32,5,40600080,69,33,0.436,0.879,4.4,4.1,2.4,0.7,0.4,1.8,21.9
2022-2023,Kyrie Irving, DAL,PG,30,4,38917057,60,37.4,0.494,0.905,3.1,5.1,5.5,1.1,0.8,2.1,27.1
2022-2023,Rudy Gobert, MIN,C,30,5,38172414,70,30.7,0.659,0.644,0,11.6,1.2,0.8,1.4,1.7,13.4
2022-2023,Anthony Davis, LAL,C,29,5,37980720,56,34,0.563,0.784,0.3,12.5,2.6,1.1,2,2.2,25.9
2022-2023,Khris Middleton, MIL,SF,31,5,37948276,33,24.3,0.436,0.902,1.5,4.2,4.9,0.7,0.2,2.2,15.1
2022-2023,Jimmy Butler, MIA,SF,33,4,37653300,64,33.4,0.539,0.85,0.6,5.9,5.3,1.8,0.3,1.6,22.9
2022-2023,Tobias Harris, PHI,PF,30,5,37633050,74,32.9,0.501,0.876,1.7,5.7,2.5,0.9,0.5,1.2,14.7
