Year,Player,Team,Position,Age,Contract,BS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV
2019,Alana Beard, LA,G,37,1,108000,16,14.7,3.3,1.4,3.1,44.9,0.1,0.3,20,0.4,0.6,77.8,0.1,1.4,1.5,1.4,0.8,0.2,0.6
2019,Alex Bentley, ATL,G,28,3,115000,29,21.9,9,3.4,11.1,30.7,1.1,4.7,23.5,1,1.2,85.7,0.3,1.5,1.9,3,0.7,0.3,1.5
2019,Allie Quigley, CHI,G,33,1,117500,34,28.6,13.8,5,10.2,49.3,2.4,5.3,44.2,1.4,1.6,87,0.4,2.6,3,2.5,0.8,0.2,1.4
2019,Alyssa Thomas, CON,F,27,3,115000,34,30.2,11.6,4.9,9.8,50.5,0,0,0,1.8,3.6,49.6,2.4,5.3,7.8,3.1,1.9,0.4,2
2019,Amanda Zahui B, NY,C,25,2,108000,24,23.3,8.6,3.4,7.2,46.8,0.9,2.9,31.9,1,1.1,85.2,1.1,5.3,6.3,0.9,1.1,1.4,1.3
2019,Angel McCoughtry, ATL,F,32,2,117500,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Briann January, PHX,G,32,3,117500,32,26.6,6.5,2.2,5.7,39,1,2.6,37.8,1.1,1.3,83.7,0.2,1.1,1.3,3.3,0.8,0.1,1.7
2019,Brittney Griner, PHX,C,28,4,115000,31,32.8,20.7,8.7,15.5,56.4,0,0.1,33.3,3.3,4,80.8,1.6,5.5,7.2,2.4,0.7,2,2.5
2019,Candace Parker, LA,F,33,5,117500,22,26,11.2,4,9.6,42.2,0.7,2.7,26.7,2.4,3,79.1,1.1,5.3,6.4,3.5,1,0.8,2.5
2019,Candice Dupree, IND,F,34,3,117500,34,30.7,11.6,5.1,10.9,47.2,0,0.1,0,1.4,1.6,83.9,0.7,4.3,5,2.5,0.4,0.6,1.5
2019,Chelsea Gray, LA,G,26,1,115000,34,32.6,14.5,5.5,13.3,41.6,1.5,3.9,38.2,1.9,2.1,91.7,0.4,3.4,3.8,5.9,1,0.1,3.2
2019,Cheyenne Parker, CHI,F,26,2,110000,34,19.7,8.8,3.1,6.9,45.9,0.1,0.5,27.8,2.4,2.8,84.2,1.8,4,5.8,0.9,0.7,1.2,1.3
2019,Chiney Ogwumike, LA,F,27,4,117500,32,21.8,9.6,3.9,7.9,49.4,0,0.1,25,1.7,2.1,80.9,2.5,3.2,5.8,0.8,1,0.7,1.3
2019,Courtney Paris, SEA,C,31,2,111000,30,6.3,0.5,0.2,0.5,40,0,0,0,0.1,0.2,42.9,0.4,1.3,1.7,0.4,0.3,0.1,0.3
2019,Courtney Vandersloot, CHI,G,30,5,117500,33,30,11.2,4.1,9.1,45.2,0.9,3.2,29,2.1,2.4,85,0.6,3.7,4.3,9.1,1.4,0.5,2.9
2019,Crystal Langhorne, SEA,F,32,3,105000,34,17,5.6,2.1,5,40.9,0.5,1.7,31.6,1,1.3,75,0.8,2.3,3.1,1,0.3,0.3,1.3
2019,Damiris Dantas, MIN,F,26,2,105000,26,25.7,9.2,3.4,7.9,43.2,1.6,4.1,39.3,0.7,1,73.1,1.1,3.4,4.5,3.2,0.7,0.6,1.7
2019,Danielle Robinson, MIN,G,30,2,108000,34,27,10.1,4.1,9.3,43.7,0.3,1.2,22,1.7,1.9,87.9,0.6,2.8,3.5,3.7,1.2,0.2,2.1
2019,Dearica Hamby, LV,F,25,3,115000,34,24.8,11,4.1,8.5,48.8,0.5,1.6,32.1,2.2,3,71.8,2.2,5.3,7.6,1.9,1,0.4,1.8
2019,DeWanna Bonner, PHX,F,31,1,127500,34,32.9,17.2,5.6,14.8,37.7,1.5,5.6,27.2,4.5,4.9,91.6,1,6.6,7.6,2.7,1.3,0.6,1.6
2019,Diana Taurasi, PHX,G,37,4,117500,6,21.4,4.3,0.7,6.5,10.3,0.2,4,4.2,2.8,3,94.4,0.2,3,3.2,5.3,0.3,0.2,2.2
2019,Elena Delle Donne, WAS,F,29,3,117000,31,29.1,19.5,7.1,13.8,51.5,1.7,3.9,43,3.7,3.8,97.4,1.5,6.7,8.3,2.2,0.6,1.3,1
2019,Elizabeth Williams, ATL,C,26,4,115000,32,28.4,9.3,3.3,7.3,45.5,0,0,0,2.6,3.5,73.2,3.1,3.4,6.5,1.2,0.8,1.7,1.3
2019,Emma Meesseman, WAS,F,26,4,117500,23,23.6,13.1,5.3,9.6,55.2,0.8,2,42.2,1.7,1.8,90.5,1.2,3,4.2,3.2,0.9,0.7,1
2019,Glory Johnson, DAL,F,29,1,117500,28,24.1,7.3,2.8,7.6,36.4,1.3,3.7,34,0.5,0.9,58.3,1,4.2,5.1,1.4,1.4,0.6,1
2019,Jantel Lavender, CHI,F,30,4,115000,23,26.9,10,4.5,9.1,49,0.3,1.2,22.2,0.8,0.9,90.5,2,4.9,6.9,1.1,0.3,0.6,1.4
2019,Jasmine Thomas, CON,G,29,2,117500,34,29.7,11.1,4.1,10.4,39.2,1.3,3.6,36.6,1.6,2.1,80,0.6,2.3,2.9,5.1,1.4,0.1,2.7
2019,Jessica Breland, ATL,F,31,3,115000,33,23.2,7.5,3.2,8.3,37.8,0.3,1.2,23.7,0.9,1,87.9,1.3,6,7.3,1.7,1.3,1.1,1.2
2019,Jewell Loyd, SEA,G,25,3,117500,27,25.4,12.3,4.3,11.1,39.1,1.3,3.7,33.7,2.4,2.6,92.8,0.4,2.3,2.7,2,1.3,0.1,1.9
2019,Kayla McBride, LV,G,27,2,115000,34,29.1,13.3,4.5,10.5,42.5,1.8,4.3,42.8,2.6,2.8,90.6,0.6,3.5,4.2,2.6,1.2,0.1,1.7
2019,Kristi Toliver, WAS,G,32,3,115000,23,29.5,13,5,10.2,49.4,1.6,4.3,36,1.3,1.5,85.7,0.5,2.4,2.9,6,1.2,0.1,2
2019,LaToya Sanders, WAS,F,32,2,115000,34,23.6,6.1,2.6,5.1,50.6,0,0,0,1,1.1,89.2,1.3,4.2,5.5,1.9,0.9,1.4,0.9
2019,Liz Cambage, LV,C,27,2,115000,32,25.2,15.9,6.1,12.2,50.4,0.1,0.4,16.7,3.6,4.8,74.8,2,6.2,8.2,2.1,0.6,1.6,2.3
2019,Maya Moore, MIN,F,30,2,115000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Natalie Achonwa, IND,C,26,2,105000,30,21.1,8.7,3.3,6.8,48.8,0.1,0.4,25,2,2.2,90.9,1.6,3.6,5.2,1.6,0.6,0.7,0.9
2019,Natasha Cloud, WAS,G,27,2,115000,34,32.1,9,3.2,8.2,39.4,1.3,4.1,32.6,1.2,1.8,68.3,0.2,2.3,2.5,5.6,1,0.2,1.9
2019,Natasha Howard, SEA,F,27,3,115000,34,31.4,18.1,6.7,15.2,43.9,0.9,3.1,30.8,3.8,4.6,81,2.7,5.5,8.2,2.1,2.2,1.7,2.9
2019,Nneka Ogwumike, LA,F,29,4,115000,32,27.9,16.1,6.5,12.7,51,0.7,2.1,33.8,2.4,2.9,82.8,2.3,6.5,8.8,1.8,1.9,0.5,1.8
2019,Odyssey Sims, MIN,G,27,3,115000,34,31.9,14.5,5.6,13.4,41.5,0.7,2.7,26.9,2.6,3.3,79.5,0.7,2.6,3.4,5.4,1.4,0.1,3.3
2019,Renee Montgomery, ATL,G,32,3,107000,34,27.9,9.5,3.1,8.5,37,2,6.2,32.4,1.2,1.5,82.4,0.3,1.9,2.2,2.6,0.9,0.2,1.9
2019,Riquna Williams, LA,G,29,2,110000,23,25.8,12.3,4,10.5,38.4,2.3,6,39.1,1.9,2.2,88,0.6,2,2.6,1.6,1.1,0.2,1.2
2019,Seimone Augustus, MIN,G,35,1,111000,12,13,3.8,1.7,5.3,31.3,0.2,1,16.7,0.3,0.3,75,0.2,0.4,0.6,1.3,0.4,0.1,1
2019,Shekinna Stricklen, CON,F,29,2,106000,34,23.7,9,3.1,7.5,40.8,2.2,5.9,38.2,0.6,0.8,81.5,0.3,1.6,1.9,1.1,1,0.2,0.8
2019,Skylar Diggins-Smith, DAL,G,29,4,117500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Stefanie Dolson, CHI,C,27,2,115000,34,25,9.3,3.6,6.9,51.9,0.9,2.4,36.1,1.3,1.4,89.8,1.2,4.4,5.6,2.2,0.6,1,1.9
2019,Sue Bird, SEA,G,38,5,117500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Sylvia Fowles, MIN,C,33,3,113360,34,29.5,13.6,5.8,9.9,58.8,0,0,0,2.1,2.9,70.7,2.7,6.2,8.9,1.5,0.9,1.4,2
2019,Tayler Hill, DAL,G,28,4,115000,4,12.2,3.3,1,3.3,30.8,0.3,1.5,16.7,1,1.3,80,0.5,0.8,1.3,0.8,0.3,0,0
2019,Tiffany Hayes, ATL,G,29,4,115260,29,28.2,14.7,5.1,12.9,39.3,1.2,4,30.8,3.3,4.4,76.4,0.7,2.3,3,2.8,1,0.3,2.4
2019,Tina Charles, NY,C,30,3,117500,33,31.2,16.9,6.7,17.2,38.9,0.3,1.8,18.6,3.3,4,81.2,2,5.6,7.5,2.4,0.7,0.9,2.6
