Year,Player,Team,Position,Age,Contract,BS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,STL,BLK,TOV,
2021,Aerial Powers, MIN,F,27,3,190550,14,22.1,13.4,4.4,10.2,42.7,0.8,2.5,31.4,3.9,4.3,91.7,0.9,2.7,3.6,2.1,0.4,0.4,2.9,0.3,1.2,12,
2021,Allie Quigley, CHI,G,35,2,194000,26,24.4,13.2,4.7,10.4,44.8,2.1,4.6,45.4,1.8,1.9,95.9,0.7,2,2.7,2.3,0.5,0.3,1.2,0.8,1.4,13.5,
2021,Allisha Gray, DAL,G,26,3,160000,25,27.8,11.9,4.2,9.7,43.8,1.2,3.3,36.6,2.2,2.6,86.2,1.3,3.9,5.2,1.7,1,0.8,1.4,1.2,1.8,10.2,
2021,Alysha Clark, WAS,F,34,2,183000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,3.7,14.6,
2021,Alyssa Thomas, CON,F,29,4,200000,2,17.4,5.5,2,7.5,26.7,0,0,0,1.5,2,75,0.5,4.5,5,2,0.5,0,1.5,1.8,1.7,24.1,
2021,Amanda Zahui B, LA,C,27,2,135000,30,23.8,9.2,3.5,8.3,42.7,1,3.6,28,1.1,1.4,76.7,0.8,4.3,5.1,1,0.6,1.2,1.8,0.1,1.8,7.2,
2021,Angel McCoughtry, LV,F,34,2,190500,1,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2.2,18.3,
2021,Betnijah Laney, NY,G,27,3,209550,32,33.7,16.8,6.3,14.1,45.1,1.1,3.4,31.2,3,3.8,78.7,0.8,3.3,4.1,5.2,0.7,0.1,3.7,1.9,2.2,26,
2021,Breanna Stewart, SEA,F,26,2,190500,28,33.4,20.3,6.9,15.8,43.9,1.7,5.1,33.3,4.8,5.6,84.7,1.2,8.3,9.5,2.7,1.2,1.8,1.7,1.2,2.4,18.6,
2021,Bria Hartley, PHX,G,28,3,190550,6,8.5,3.7,1.5,2.7,56.3,0.7,1.2,57.1,0,0,0,0.3,0.3,0.7,0.8,0.2,0,0.8,0.3,2.8,12.9,
2021,Briann January, CON,G,34,3,121500,29,30.2,7,2.4,5.8,42.5,0.9,2.4,38,1.1,1.3,86.8,0.3,1.1,1.4,3.1,0.9,0.1,1.8,0.4,3,16.1,
2021,Brionna Jones, CON,C,25,2,120000,32,30.6,14.7,6.1,10.6,57.1,0,0.1,0,2.6,3.2,79.6,3.2,4.2,7.3,1.8,1.4,0.5,2.2,0.5,1.8,16.6,
2021,Brittney Griner, PHX,C,30,3,221450,30,32.8,20.5,8.3,14.4,57.5,0.1,0.3,44.4,3.8,4.5,84.6,2.4,7.1,9.5,2.7,0.4,1.9,2.2,0.3,1.8,8.1,
2021,Candace Parker, CHI,F,35,2,190000,23,26.7,13.3,5,11,45.8,1,3.2,32.9,2.2,2.7,79.4,1.4,7,8.4,4,0.7,1.2,2.4,0.1,1.8,11.6,
2021,Chelsea Gray, LV,G,28,2,190550,32,28.9,11.1,4.6,10.2,45.4,0.8,2.2,38,1,1.1,88.9,0.5,2.4,2.9,5.9,1.2,0.3,2.8,0.1,1.5,14.7,
2021,Cheyenne Parker, ATL,F,28,3,185000,13,20.8,10.2,3.8,8.5,45,0.8,2.3,33.3,1.7,2.2,78.6,1,3.5,4.5,1.2,1.2,0.9,1.2,0.7,2.2,16.8,
2021,Courtney Vandersloot, CHI,G,32,2,200000,32,30.5,10.5,4,9.3,43.3,1.1,3.3,34.6,1.3,1.5,85.7,0.5,2.9,3.4,8.6,1.7,0.4,3,0.3,2.7,12.7,
2021,Courtney Williams, ATL,G,27,2,190500,32,34.4,16.5,7.1,17.1,41.8,1.2,3.2,38.2,1.1,1.7,64.2,1.4,5.4,6.8,4,1.1,0.5,1.8,0.7,1.5,13.8,
2021,Damiris Dantas, MIN,F,28,2,126000,24,23.8,7.7,2.8,7.3,37.7,1.4,4.3,33.3,0.8,1,75,0.6,3.4,4,2.3,0.4,0.3,1.8,0.1,1.4,6.4,
2021,Danielle Robinson, IND,G,32,3,155000,24,27.5,9.9,3.7,8.8,41.7,0.2,1,20,2.3,2.6,88.9,0.3,3.2,3.5,3.7,1.5,0.1,1.8,0.2,2.2,10.1,
2021,Dearica Hamby, LV,F,27,3,152300,29,24.5,11.6,4.4,8,54.5,0.3,1.2,25,2.6,3.9,65.5,1.1,5.5,6.7,1.7,1.1,0.1,1.5,1.5,1.8,9.8,
