Season,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,TOV,STL
2019-20,Atlanta Hawks,67,48.6,111.8,40.6,90.6,44.9,12,36.1,33.3,18.5,23.4,79,43.3,24,16.2,7.8
2019-20,Chicago Bulls,65,48.2,106.8,39.6,88.6,44.7,12.2,35.1,34.8,15.5,20.5,75.5,41.9,23.2,15.5,10
2019-20,Dallas Mavericks,75,48.5,117,41.7,90.3,46.1,15.1,41.3,36.7,18.6,23.8,77.9,46.9,24.7,12.7,6.1
2019-20,Golden State Warriors,65,48.4,106.3,38.6,88.2,43.8,10.4,31.3,33.4,18.7,23.2,80.3,42.8,25.6,14.9,8.2
2019-20,Indiana Pacers,73,48.3,109.4,42.1,88.5,47.6,10.2,28,36.3,15,19.1,78.7,42.8,25.9,13.2,7.4
2019-20,Los Angeles Lakers,71,48.1,113.4,42.3,88.3,48,11,31.6,34.9,17.7,24.3,72.9,45.7,25.4,15.2,8.6
2019-20,Minnesota Timberwolves,64,48.6,113.3,40.4,91.6,44.1,13.3,39.7,33.6,19.1,25.4,75.3,44.8,23.8,15.3,8.7
2019-20,New York Knicks,66,48.4,105.8,40,89.3,44.7,9.6,28.4,33.7,16.3,23.5,69.4,46.5,22.1,14.3,7.6
2019-20,Oklahoma City Thunder,72,48.4,110.4,40,85.5,46.8,10.7,30.2,35.5,19.8,24.8,79.6,42.9,21.7,13.7,7.6
2019-20,Phoenix Suns,73,48.2,113.6,41.2,88.1,46.8,11.4,31.8,35.8,19.9,23.8,83.4,43.5,27.2,14.8,7.7
2020-21,Atlanta Hawks,72,48.3,113.7,40.8,87.2,46.8,12.4,33.4,37.3,19.7,24.2,81.2,45.6,24.1,13.2,7
2020-21,Chicago Bulls,72,48.3,110.7,42.2,88.6,47.6,12.6,34,37,13.8,17.5,79.1,45,26.8,15.1,6.7
2020-21,Dallas Mavericks,72,48.1,112.4,41.1,87.3,47,13.8,38.1,36.2,16.5,21.2,77.8,43.3,22.9,12.1,6.3
2020-21,Golden State Warriors,72,48.1,113.7,41.3,88.2,46.8,14.6,38.7,37.6,16.6,21.1,78.5,43,27.7,15,8.2
2020-21,Indiana Pacers,72,48.5,115.3,43.3,91.2,47.4,12.3,34,36.4,16.4,20.7,79.2,42.7,27.4,13.5,8.5
2020-21,Los Angeles Lakers,72,48.5,109.5,40.6,86.1,47.2,11.1,31.2,35.4,17.2,23.3,73.9,44.2,24.7,15.2,7.8
2020-21,Minnesota Timberwolves,72,48.3,112.1,40.7,90.9,44.8,13.1,37.6,34.9,17.6,23.1,76.1,43.5,25.6,14.3,8.8
2020-21,New York Knicks,72,48.4,107,39.4,86.5,45.6,11.8,30,39.2,16.4,20.9,78.4,45.1,21.4,12.9,7
2020-21,Oklahoma City Thunder,72,48.2,105,38.8,88,44.1,11.9,35.1,33.9,15.5,21.3,72.5,45.6,22.1,16.1,7
2020-21,Phoenix Suns,72,48.6,115.3,43.3,88.3,49,13.1,34.6,37.8,15.6,18.7,83.4,42.9,26.9,12.5,7.2
2021-22,Atlanta Hawks,82,48.1,113.9,41.5,88.3,47,12.9,34.4,37.4,18.1,22.3,81.2,44,24.6,11.9,7.2
2021-22,Chicago Bulls,82,48.1,111.6,41.7,86.9,48,10.6,28.8,36.9,17.5,21.5,81.3,42.3,23.9,12.8,7.1
2021-22,Dallas Mavericks,82,48.2,108,39.3,85.1,46.1,13.1,37.4,35,16.4,21.2,77.1,43,23.4,12.5,6.7
2021-22,Golden State Warriors,82,48.1,111,40.5,86.4,46.9,14.3,39.4,36.4,15.6,20.3,76.9,45.5,27.1,14.9,8.8
2021-22,Indiana Pacers,82,48.5,111.5,41.4,89.5,46.3,12.2,35.4,34.4,16.4,21.4,76.8,43.9,25.4,14.4,7.1
2021-22,Los Angeles Lakers,82,48.7,112.1,41.6,88.8,46.9,12,34.5,34.7,16.8,23,73.2,44,24,14.5,7.6
2021-22,Minnesota Timberwolves,82,48.2,115.9,41.6,91,45.7,14.8,41.3,35.8,18,23.1,77.8,44.2,25.7,14.3,8.8
2021-22,New York Knicks,82,48.2,106.5,37.7,86.2,43.7,13.2,36.9,35.7,18,24.1,74.4,46.1,21.9,13.3,7
2021-22,Oklahoma City Thunder,82,48.3,103.7,38.3,89.1,43,12.1,37.4,32.3,15,19.9,75.6,45.6,22.2,14,7.6
2021-22,Phoenix Suns,82,48.1,114.8,43.7,90.1,48.5,11.6,31.9,36.4,15.9,19.9,79.7,45.3,27.4,12.9,8.6
2022-23,Atlanta Hawks,,,,,,,,,,,,,,,,
2022-23,Chicago Bulls,,,,,,,,,,,,,,,,
2022-23,Dallas Mavericks,,,,,,,,,,,,,,,,
2022-23,Golden State Warriors,,,,,,,,,,,,,,,,
2022-23,Indiana Pacers,,,,,,,,,,,,,,,,
2022-23,Los Angeles Lakers,,,,,,,,,,,,,,,,
2022-23,Minnesota Timberwolves,,,,,,,,,,,,,,,,
2022-23,New York Knicks,,,,,,,,,,,,,,,,
2022-23,Oklahoma City Thunder,,,,,,,,,,,,,,,,
2022-23,Phoenix Suns,,,,,,,,,,,,,,,,
