Team being Sponsored,Main Sponser's Name,Naming Rights Sponsorship Start Year,Team Sponorship Start Year,Tenure of Naming Rights Sponsorships,estimated Sponsorship Buying Cost,cost per year,Shared Sponsorships,Team Sponser is Shared With,Company Worth in NR Sponsorship Year
(WNBA) Atlanta Dreams,Gateway Center,2019,2021, N/A,N/A,N/A,No,not shared,"-740,936"
(WNBA) Chicago Sky,Wintrust Financial,2016,2018,15 year deal,N/A,N/A,No,not shared,1.138B
(WNBA) Dallas Wings,College Park,2012,2015/2016,N/A,N/A,N/A,No,not shared,"1,146,387,940.74"
(WNBA) Indiana Fever,Gainbridge Insurance Agency/Group 1001,2021,2021,multi year deal,N/A,N/A,Yes,Indiana Pacers,44B
(WNBA) Los Angeles Sparks,crypto.com,2021,2021,20 years,700 mil total,35 mil per year,Yes,Los Angeles Lakers,aprox 3 Trillion
(WNBA) Las Vegas Aces,"Michelob Ultra /
Anheuser-Busch",2021,2021,multi year deal,not disclosed,N/A,No,not shared,"31,207 mil"
(WNBA) Minnesota Lynx,Target,1990,1990?,"1990 - present (3 to 5 year
 annul renewel)",N/A,1.5 mil per year,Yes,Minnesota Timberwolves,28B
(WNBA) New York Liberty,Barclays Bank,2007,2020, 20 years,400mil/200 mil total,10 mil per year,No,not shared,66.57B
(WNBA) Phoenix Mercury,Footprint,2021,2021, N/A,N/A,N/A,Yes,Phoenix Suns,"-137,572"
(WNBA) Seattle Storm,Amazon,2020,2021,N/A,300 mil - 400 mil,N/A,No,not shared,"1,629.28B"
Atlanta Hawks,State Farm,2018,2018,20 years,175 mil total,8.75 mil per year,No,not shared,100.9B
Chicago Bulls,United Airlines,1994,2013,"1994 - present (renewed in 
2013 for additional 20 years)",36 mil total (not disclosed),N/A,No,not shared,N/A
Dallas Mavricks,American Airlines,1999,2001,30 years,195 mil total,5 mil per year,No,not shared,N/A
Golden State Warriors,Chase,2016,2019,20 years,300 mil total,15 mil per year,No,not shared,315.72B
Indiana Pacers,Gainbridge Insurance Agency/Group 1001,2021,2021,multi year deal,N/A,N/A,Yes,Indiana Fever,44B
Los Angeles Lakers,crypto.com,2021,2021,start 20 years,700 mil total,35 mil per year,Yes,Los Angeles Sparks,aprox 3 Trillion
Minnesota Timberwolves,Target,"1990 - present (3 to 5 year
 annul renewel)",1990?,"1990 - present (3 to 5 year
 annul renewel)",N/A,1.5 mil per year,Yes,Minnesota Lynx,28B
New York Knicks,Madison Square Garden Sports / New York City,Not Sponsored,Not Sponsored,N/A,N/A,N/A,No,not shared,None
Oklahoma City Thunder,Paycom,2021,2021,15 years,< 100 mil total,N/A,No,not shared,23.6 B
Phoenix Suns,Footprint,2021,2021,N/A,N/A,N/A,Yes,Phoenix Mercury,"-137,572"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
