Year,Ranking,Team,Home Games,Home Total,Home Average,Home Percent,Road Games,Road Average,Road Percent,Overall Games,Overall Average,Overall Percent
2022,1,Chicago Bulls,41,856148,20881,99.8,41,18198,96.3,82,19556,98.2
2022,2,Philadelphia 76ers,41,846867,20655,98.4,41,16589,87.4,82,18622,93.2
2022,3,Dallas Mavericks,41,809315,19739,102.8,41,17092,91.5,82,18415,97.2
2022,4,Miami Heat,41,804761,19628,100.1,41,17294,91.5,82,18476,96
2022,5,Boston Celtics,41,766240,19156,100,41,17583,93,82,18360,96.5
2022,6,Toronto Raptors,41,547343,18873,95.3,41,17233,91.1,82,17913,92.9
2022,7,Los Angeles Lakers,41,764631,18649,97.8,41,18179,96.9,82,18414,97.3
2022,8,New York Knicks,41,763484,18621,94,41,17722,93.9,82,18177,94
2022,9,Cleveland Cavaliers,41,758228,18493,95.2,41,17134,90.4,82,17813,92.8
2022,10,Utah Jazz,41,750546,18306,100,41,16898,90.3,82,17610,95.1
2022,11,Golden State Warriors,41,740624,18064,100,41,18111,96.5,82,18087,98.2
2022,12,Milwaukee Bucks,41,715581,17453,100.6,41,17656,92.9,82,17555,96.6
2022,13,Brooklyn Nets,41,711539,17354,97.9,41,17456,91.6,82,17405,94.6
2022,14,Portland Trail Blazers,41,705608,17209,88.5,41,16559,88.6,82,16888,88.6
2022,15,Charlotte Hornets,41,700755,17091,89.6,41,17503,92.6,82,17294,91.1
2022,16,Denver Nuggets,41,695262,16957,86.9,41,16864,90.3,82,16911,88.5
2022,17,Los Angeles Clippers,41,694005,16926,88.8,41,16910,90.4,82,16917,89.6
2022,18,Phoenix Suns,41,679252,16567,91.8,41,17403,93,82,16979,92.4
2022,19,Atlanta Hawks,41,672742,16408,97.2,41,17073,89.2,82,16736,93
2022,20,Detroit Pistons,41,663556,16184,79.6,41,16752,88.4,82,16468,83.9
2022,21,Minnesota Timberwolves,41,657148,16028,84.5,41,16811,89.7,82,16419,87.1
2022,22,Memphis Grizzlies,41,646785,15775,85.7,41,17740,94.5,82,16757,90.2
2022,23,Houston Rockets,41,638977,15584,86.3,41,16655,88.8,82,16120,87.6
2022,24,Washington Wizards,41,637215,15541,75.4,41,16939,90.1,82,16231,82.4
2022,25,New Orleans Pelicans,41,635941,15510,92,41,16727,88.9,82,16103,90.4
2022,26,Orlando Magic,41,622881,15192,0.6,41,17062,89.8,82,16127,85.2
2022,27,San Antonio Spurs,41,615588,15014,81.8,41,16939,90.3,82,15965,86
2022,28,Oklahoma City Thunder,41,595112,14877,81.7,41,16638,88.4,82,15768,85.2
2022,29,Sacramento Kings,41,577583,14439,82.1,41,16598,88.4,82,15532,85.4
2022,30,Indiana Pacers,41,588743,14359,80.1,41,16794,88.5,82,15577,84.5
2023,1,Chicago Bulls,41,841632,20527,98.1,41,18243,96.8,82,19385,97.5
2023,2,Philadelphia 76ers,41,839261,20469,97.5,41,17910,95.2,82,19190,96.4
2023,3,Dallas Mavericks,41,827282,20177,105.1,41,18138,97.1,82,19158,101.1
2023,4,Toronto Raptors,41,811261,19786,99.9,41,17755,93.9,82,18771,97
2023,5,Miami Heat,41,807190,19687,100.4,41,18369,97.2,82,19028,98.8
2023,6,Cleveland Cavaliers,41,777280,19432,100,41,18093,96,82,18754,98
2023,7,New York Knicks,41,795110,19392,97.9,41,18467,97.5,82,18930,97.7
2023,8,Denver Nuggets,41,788635,19235,98.5,41,17628,94.5,82,18431,96.5
2023,9,Boston Celtics,41,766240,19156,100,41,18830,99.5,82,18991,99.7
2023,10,Portland Trail Blazers,41,767374,18716,96.3,41,17786,95.3,82,18257,95.8
2023,11,Los Angeles Lakers,41,763168,18613,97.6,41,18777,100.5,82,18695,99.1
2023,12,Detroit Pistons,41,759715,18529,91.1,41,17866,94.5,82,18197,92.8
2023,13,Utah Jazz,41,728240,18206,100,41,17881,95.2,82,18041,97.5
2023,14,Golden State Warriors,41,740624,18064,100,41,19772,105.3,82,18907,102.7
2023,15,Orlando Magic,41,728405,17765,94.3,41,18013,95,82,17888,94.6
2023,16,Brooklyn Nets,41,724439,17669,99.6,41,18312,96.3,82,17990,97.9
2023,17,Los Angeles Clippers,41,720543,17574,92.2,41,17625,94.3,82,17599,93.2
2023,18,Atlanta Hawks,41,719787,17555,104,41,18053,94.8,82,17804,99.1
2023,19,Milwaukee Bucks,41,718786,17531,101.1,41,18296,96.2,82,17913,98.5
2023,20,Sacramento Kings,41,715491,17451,99.1,41,17534,93.8,82,17492,96.3
2023,21,Washington Wizards,41,710481,17328,84.1,41,17753,94.3,82,17541,89
2023,22,Memphis Grizzlies,41,707836,17264,93.8,41,18162,97.3,82,17713,95.6
2023,23,Charlotte Hornets,41,702052,17123,89.8,41,18032,95.3,82,17578,92.5
2023,24,Phoenix Suns,41,682840,17071,100,41,18294,97.5,82,17690,98.7
2023,25,San Antonio Spurs,41,694434,16937,92.3,41,17649,94.3,82,17293,93.3
2023,26,New Orleans Pelicans,41,687691,16772,99.4,41,18021,95.9,82,17397,97.6
2023,27,Minnesota Timberwolves,41,687510,16768,88.4,41,17499,93.9,82,17133,91.1
2023,28,Houston Rockets,41,668865,16313,90.4,41,17677,94.5,82,16995,92.1
2023,29,Indiana Pacers,41,641562,15647,87.3,41,17900,94,82,16774,92.4
2023,30,Oklahoma City Thunder,41,636903,15534,85.3,41,17948,95.8,82,16726,90.8
2021,1,Utah Jazz,36,151300,4450,24.3,36,3104,16.9,72,4077,22.3
2021,2,Philadelphia 76ers,36,68583,3810,18.1,36,2693,14.5,72,3284,16.5
2021,3,Phoenix Suns,36,104027,3715,20.6,36,2951,16,72,3397,18.7
2021,4,Dallas Mavericks,36,94849,3648,19,36,2316,12.5,72,3140,16.6
2021,5,Denver Nuggets,36,54554,3636,18.6,36,2481,13.4,72,3023,15.9
2021,6,Orlando Magic,36,130712,3630,19.3,36,2954,15.9,72,3405,18.1
2021,7,Chicago Bulls,36,13655,3413,16.3,36,2343,12.6,72,2538,13.3
2021,8,Charlotte Hornets,36,68255,3412,17.9,36,2475,13.2,72,2981,15.8
2021,9,Houston Rockets,36,117009,3250,18,36,3282,18,72,3259,18
2021,10,San Antonio Spurs,36,61053,3052,16.6,36,3170,16.9,72,3111,16.8
