Year,Date,Attendance,Location,Opponent,Team,Venue Capacity,
2023,11-Jun,2890,Gateway Center Arena,Conneticut Sun,Atlanta Dreams,3209,
2023,26-May,3209,Gateway Center Arena,Indiana Fever,Atlanta Dreams,3209,Sellout
2023,30-May,5594,College Park Center,Dallas Wings,Atlanta Dreams,7700,
2023,13-Jun,5719,Barclaye Center,New York Liberty,Atlanta Dreams,17732,
2023,9-Jun,3209,Gateway Center Arena,New York Liberty,Atlanta Dreams,3209,Sellout
2023,8-Jun,3624,Entertainment and Sports Arena,Washington Mystics,Atlanta Dreams,4200,
2023,6-Jul,1810,Gateway Center Arena,Washington Mystics,Atlanta Dreams,3209,
2023,9-Jun,3209,Gateway Center Arena,New York Liberty,Atlanta Dreams,3209,Sellout
2023,11-Jun,2890,Gateway Center Arena,Conneticut Sun,Atlanta Dreams,3209,
2023,26-May,3209,Gateway Center Arena,Indiana Fever,Atlanta Dreams,3209,Sellout
2023,30-May,5534,College Park Center,Dallas Wings,Atlanta Dreams,7700,
2023,13-Jun,5719,Barclaye Center,New York Liberty,Atlanta Dreams,17732,
2023,9-Jun,3209,Gateway Center Arena,New York Liberty,Atlanta Dreams,3209,Sellout
2023,28-Jun,3624,Wintrust Arena,Washington Mystics,Atlanta Dreams,10387,
2023,6-Jul,1810,Gateway Center Arena,Washington Mystics,Atlanta Dreams,3209,
2023,2-Jul,3209,Gateway Center Arena,Los Angeles Spark,Atlanta Dreams,3209,Sellout
2023,30-May,2562,Gateway Center Arena,Chicago Sky,Atlanta Dreams,3209,
2023,7-Jul,7911,Wintrust Arena,Chicago Sky,Atlanta Dreams,10387,
2023,30-May,2562,Gateway Center Arena,Chicago Sky,Atlanta Dreams,3209,
2023,23-May,7803,Target Center,Minnesota Lynx,Atlanta Dreams,18798,
2023,15-Jun,4316,Mohegan Sun Arena,Conneticut Sun,Atlanta Dreams,10211,
2023,11-Jun,2690,Gateway Center Arena,Conneticut Sun,Atlanta Dreams,3209,
2023,11-Jun,7615,Barclaye Center,New York Liberty,Dallas Wings,17732,
2023,29-Jun,9587,Michelob ULTRA Arena,New York Liberty,Las Vegas Aces,12000,
2023,2-Jun,3209,Gateway Center Arena,Atlanta Dream,Las Vegas Aces,3209,Sellout
2023,29-Jun,9499,Climate Pledge Arena,Seattle Storm,Las Vegas Aces,18100,
2022,15-May,1745,Gainbridge Fieldhouse,Indiana Fever,Atlanta Dreams,19000,
2022,17-May,960,Gainbridge Fieldhouse,Indiana Fever,Atlanta Dreams,19000,
2022,15-May,1745,Gainbridge Fieldhouse,Indiana Fever,Atlanta Dreams,19000,
2022,29-May,3138,Gateway Center Arena,Phoenix Mercury,Atlanta Dreams,3209,
2022,3-Jun,3138,Gateway Center Arena,Chicago Sky,Atlanta Dreams,3209,
2022,7-May,5796,College Park Center,Dallas Wings,Atlanta Dreams,7700,
2022,15-Jun,4014,Mohegan Sun Arena,Conneticut Sun,Atlanta Dreams,10211,
2022,24-May,2687,Entertainment and Sports Arena,Washington Mystics,Atlanta Dreams,4200,
2022,24-Jun,2697,Gateway Center Arena,New York Liberty,Atlanta Dreams,3209,
2022,30-Jul,3138,Gateway Center Arena,Dallas Wings,Atlanta Dreams,3209,
2022,7-Aug,9421,Target Center,Minnesota Lynx,Atlanta Dreams,18798,
2022,28-Jul,2396,Gateway Center Arena,Minnesota Lynx,Atlanta Dreams,3209,
2022,3-Aug,2071,Gateway Center Arena,Indiana Fever,Atlanta Dreams,3209,
2022,5-Jun,3000,Gateway Center Arena,Indiana Fever,Atlanta Dreams,3209,
2022,12-Jul,7874,Wintrust Arena,Chicago Sky,Atlanta Dreams,10387,
2022,17-Jun,7435,Wintrust Arena,Chicago Sky,Atlanta Dreams,10387,
2022,3-Aug,5151,Michelob ULTRA Arena,Las Vegas Aces,Atlanta Dreams,12000,
2022,13-Jul,5952,Michelob ULTRA Arena,Las Vegas Aces,Atlanta Dreams,12000,
2022,14-Aug,7551,Barclaye Center,New York Liberty,Atlanta Dreams,17732,
2022,12-Aug,3136,Gateway Center Arena,New York Liberty,Atlanta Dreams,3209,Sellout
2022,15-Jul,2962,Gateway Center Arena,Conneticut Sun,Atlanta Dreams,3209,
2022,25-Jun,2722,Gateway Center Arena,Conneticut Sun,Atlanta Dreams,3209,
2022,9-Jun,3269,Gateway Center Arena,New York Liberty,Atlanta Dreams,3209,
2022,14-Aug,756,Barclaye Center,New York Liberty,Atlanta Dreams,17732,
2022,15-Jul,2952,Gateway Center Arena,Conneticut Sun,Atlanta Dreams,3209,
2022,5-Aug,2871,Gateway Center Arena,Indiana Fever,Atlanta Dreams,3209,
2022,6-Jul,1810,Gateway Center Arena,Washington Mystics,Atlanta Dreams,3209,
2022,28-Jun,3517,Entertainment and Sports Arena,Washington Mystics,Atlanta Dreams,4200,
2022,3-Aug,5151,Michelob ULTRA Arena,Las Vegas Aces,Atlanta Dreams,12000,
2022,19-Jul,5952,Michelob ULTRA Arena,Las Vegas Aces,Atlanta Dreams,12000,
2022,14-Aug,7661,Barclaye Center,New York Liberty,Atlanta Dreams,17732,
2022,12-Aug,3135,Gateway Center Arena,New York Liberty,Atlanta Dreams,3209,
2022,15-Jul,2962,Gateway Center Arena,Conneticut Sun,Atlanta Dreams,3209,
2022,25-Jun,2722,Gateway Center Arena,Conneticut Sun,Atlanta Dreams,3209,
2022,14-Aug,7651,Barclaye Center,New York Liberty,Atlanta Dreams,17732,
2022,15-Jul,2952,Gateway Center Arena,Conneticut Sun,Atlanta Dreams,3209,
2022,3-Aug,2871,Gateway Center Arena,Indiana Fever,Atlanta Dreams,3209,
2022,26-Jul,3136,Gateway Center Arena,Dallas Wings,Atlanta Dreams,3209,Sellout
2022,6-Jul,1810,Gateway Center Arena,Washington Mystics,Atlanta Dreams,3209,
2022,28-Jun,3517,Entertainment and Sports Arena,Washington Mystics,Atlanta Dreams,4200,
2022,5-Aug,3138,Gateway Center Arena,Los Angeles Spark,Atlanta Dreams,3209,Sellout
2022,21-Jul,10021,Crypto.com Arena,Los Angeles Spark,Atlanta Dreams,19079,
2022,5-Aug,3138,Gateway Center Arena,Los Angeles Spark,Atlanta Dreams,3209,Sellout
2022,12-Jul,7074,Wintrust Arena,Chicago Sky,Atlanta Dreams,10387,
2022,24-Jul,12654,Climate Pledge Arena,Seattle Storm,Atlanta Dreams,18100,
2022,3-Jul,3138,Gateway Center Arena,Seattle Storm,Atlanta Dreams,3209,
2022,7-Aug,9421,Target Center,Minnesota Lynx,Atlanta Dreams,18798,
2022,31-May,4693,Michelob ULTRA Arena,Conneticut Sun,Las Vegas Aces,12000,
2022,2-Jun,3801,Michelob ULTRA Arena,Conneticut Sun,Las Vegas Aces,12000,
2022,17-Jul,6814,Mohegan Sun Arena,Conneticut Sun,Las Vegas Aces,10211,
2022,11-Sep,10135,Michelob ULTRA Arena,Conneticut Sun,Las Vegas Aces,12000,
2022,13-Sep,10211,Michelob ULTRA Arena,Conneticut Sun,Las Vegas Aces,12000,Sellout
2022,15-Sep,8745,Mohegan Sun Arena,Conneticut Sun,Las Vegas Aces,10211,
2022,31-May,4693,Michelob ULTRA Arena,Conneticut Sun,Las Vegas Aces,12000,
2022,2-Jun,3801,Michelob ULTRA Arena,Conneticut Sun,Las Vegas Aces,12000,
2022,17-Jul,6814,Mohegan Sun Arena,Conneticut Sun,Las Vegas Aces,10211,
2022,11-Sep,10135,Michelob ULTRA Arena,Conneticut Sun,Las Vegas Aces,12000,
2022,8-May,6212,Michelob ULTRA Arena,Seattle Storm,Las Vegas Aces,12000,
2022,7-Aug,18100,Climate Pledge Arena,Seattle Storm,Las Vegas Aces,18100,Sellout
2022,14-Aug,10015,Michelob ULTRA Arena,Seattle Storm,Las Vegas Aces,12000,
2022,28-Aug,9944,Michelob ULTRA Arena,Seattle Storm,Las Vegas Aces,12000,
2022,31-Aug,9755,Michelob ULTRA Arena,Seattle Storm,Las Vegas Aces,12000,
2022,4-Sep,15431,Climate Pledge Arena,Seattle Storm,Las Vegas Aces,18100,
2022,8-May,6212,Michelob ULTRA Arena,Seattle Storm,Las Vegas Aces,12000,
2022,29-Jun,9499,Climate Pledge Arena,Seattle Storm,Las Vegas Aces,18100,
2022,7-Aug,18100,Climate Pledge Arena,Seattle Storm,Las Vegas Aces,18100,Sellout
2022,21-May,5572,Michelob ULTRA Arena,Phoenix Mercury,Las Vegas Aces,12000,
2022,17-Aug,8725,Michelob ULTRA Arena,Phoenix Mercury,Las Vegas Aces,12000,
2022,5-Jun,3000,Gateway Center Arena,Indiana Fever,Washington Mystics,3209,
2022,17-May,960,Gainbridge Fieldhouse,Indiana Fever,Atlanta Dreams,19000,
2022,21-Jul,10021,Crypto.com Arena,Los Angeles Sparks,Atlanta Dreams,19079,
2022,11-May,3138,Gateway Center Arena,Los Angeles Sparks,Atlanta Dreams,3209,
2022,28-Jul,2396,Gateway Center Arena,Minnesota Lynx,Atlanta Dreams,3209,
2022,1-Jun,1268,Gateway Center Arena,Minnesota Lynx,Atlanta Dreams,3209,
2022,19-Jul,5952,Michelob ULTRA Arena,Las Vegas Aces,Atlanta Dreams,12000,
2022,13-May,3138,Gateway Center Arena,Las Vegas Aces,Atlanta Dreams,3209,
2022,30-Jun,6161,Barclays Center,New York Liberty,Atlanta Dreams,17732,
2022,24-Jun,2697,Gateway Center Arena,New York Liberty,Atlanta Dreams,3209,
2022,12-Aug,3138,Gateway Center Arena,New York Liberty,Atlanta Dreams,3209,
