Year,Team,Total Revenue,Ticket Sales,Naming Rights,TV/Radio Deals,Merchandising
2019-20,Atlanta Dream,,,,,
2019-20,Chicago Sky,,,,,
2019-20,Dallas Wings,,,,,
2019-20,Indiana Fever,,,,,
2019-20,Los Angeles Sparks,,,,,
2019-20,Las Vegas Aces,,,,,
2019-20,Minnesota Lynx,,,,,
2019-20,New York Liberty,,,,,
2019-20,Phoenix Mercury,,,,,
2019-20,Seattle Storm,,,,,
2020-21,Atlanta Dream,,,,,
2020-21,Chicago Sky,,,,,
2020-21,Dallas Wings,,,,,
2020-21,Indiana Fever,,,,,
2020-21,Los Angeles Sparks,,,,,
2020-21,Las Vegas Aces,,,,,
2020-21,Minnesota Lynx,,,,,
2020-21,New York Liberty,,,,,
2020-21,Phoenix Mercury,,,,,
2020-21,Seattle Storm,,,,,
2021-22,Atlanta Dream,,,,,
2021-22,Chicago Sky,,,,,
2021-22,Dallas Wings,,,,,
2021-22,Indiana Fever,,,,,
2021-22,Los Angeles Sparks,,,,,
2021-22,Las Vegas Aces,,,,,
2021-22,Minnesota Lynx,,,,,
2021-22,New York Liberty,,,,,
2021-22,Phoenix Mercury,,,,,
2021-22,Seattle Storm,,,,,
2022-23,Atlanta Dream,,,,,
2022-23,Chicago Sky,,,,,
2022-23,Dallas Wings,,,,,
2022-23,Indiana Fever,,,,,
2022-23,Los Angeles Sparks,,,,,
2022-23,Las Vegas Aces,,,,,
2022-23,Minnesota Lynx,,,,,
2022-23,New York Liberty,,,,,
2022-23,Phoenix Mercury,,,,,
2022-23,Seattle Storm,,,,,
