Team being Sponsored,Main Sponser's Name,Naming Rights Sponsorship Start Year,Team Sponorship Start Year,Tenure of NR Sponsorships (Years),Est SS Buying Cost (USD$ Million),Cost per Year (USD$ Million),Shared Sponsorships,Team Sponser is Shared With,Company Worth in NR Sponsorship Year
(WNBA) Atlanta Dreams,Gateway Center,2019,2021, N/A,N/A,N/A,No,not shared,"-740,936.00"
(WNBA) Chicago Sky,Wintrust Financial,2016,2018,15,N/A,N/A,No,not shared,"1,138,000,000.00"
(WNBA) Dallas Wings,College Park,2012,2016,N/A,N/A,N/A,No,not shared,"1,146,387,940.74"
(WNBA) Indiana Fever,Gainbridge Insurance Agency /Group 1001,2021,2021,N/A,N/A,N/A,Yes,Indiana Pacers,"44,000,000,000.00"
(WNBA) Los Angeles Sparks,crypto.com,2021,2021,20,700,35,Yes,Los Angeles Lakers,"3,000,000,000,000.00"
(WNBA) Las Vegas Aces,"Michelob Ultra /
Anheuser-Busch",2021,2021,N/A,N/A,N/A,No,not shared,"31,207,000,000.00"
(WNBA) Minnesota Lynx,Target,1990,1990,33,N/A,1.5,Yes,Minnesota Timberwolves,"28,000,000,000.00"
(WNBA) New York Liberty,Barclays Bank,2007,2020,20,200,10,No,not shared,"66,570,000,000.00"
(WNBA) Phoenix Mercury,Footprint,2021,2021, N/A,N/A,N/A,Yes,Phoenix Suns,"-137,572.00"
(WNBA) Seattle Storm,Amazon,2020,2021,N/A,400,N/A,No,not shared,"1,629,280,000,000.00"
Atlanta Hawks,State Farm,2018,2018,20,175,8.75,No,not shared,"100,900,000,000.00"
Chicago Bulls,United Airlines,1994,2013,20,36,1.8,No,not shared,"-613,000,000.00"
Dallas Mavricks,American Airlines,1999,2001,30,195,5,No,not shared,"985,000,000.00"
Golden State Warriors,Chase,2016,2019,20,300,15,No,not shared,"315,720,000,000.00"
Indiana Pacers,Gainbridge Insurance Agency /Group 1001,2021,2021,N/A,N/A,N/A,Yes,Indiana Fever,"44,000,000,000.00"
Los Angeles Lakers,crypto.com,2021,2021,20,700,35,Yes,Los Angeles Sparks,"3,000,000,000,000.00"
Minnesota Timberwolves,Target,1990,1990,33,N/A,1.5,Yes,Minnesota Lynx,"28,000,000,000.00"
New York Knicks,Madison Square Garden Sports / New York City,Not Sponsored,Not Sponsored,N/A,N/A,N/A,No,not shared,N/A
Oklahoma City Thunder,Paycom,2021,2021,15,100,6.6,No,not shared,"24,030,000,000.00"
Phoenix Suns,Footprint,2021,2021,N/A,N/A,N/A,Yes,Phoenix Mercury,"-137,572.00"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
