Season,Team ,Name, Salary , Incentative 
2023,Atlanta Hawk,Trae Young,"$40,064,220.00 ",
2023,Atlanta Hawk,Clint Capela,"$20,616,000.00 ","$2,000,000.00 "
2023,Atlanta Hawk,De'Andre Hunter,"$20,089,286.00 ",
2023,Atlanta Hawk,Bogdan Bogdanovic,"$18,700,000.00 ",
2023,Atlanta Hawk,Dejounte Murray,"$17,714,000.00 ","$500,000.00 "
2023,Chicago Bulls,Zach LaVine,"$40,064,220.00 ",
2023,Chicago Bulls,DeMar DeRozan,"$28,600,000.00 ",
2023,Chicago Bulls,Lonzo Ball,"$20,465,117.00 ","$1,000,000.00 "
2023,Chicago Bulls,Nikola Vucevic,"$18,518,519.00 ",
2023,Chicago Bulls,Coby White,"$11,111,111.00 ",
2023,Dallas Mavericks,Luka Doncic,"$40,064,220.00 ",
2023,Dallas Mavericks,Kyrie Irving,"$37,037,037.00 ","$2,000,000.00 "
2023,Dallas Mavericks,Tim Hardaway Jr.,"$17,897,728.00 ",
2023,Dallas Mavericks,Grant Williams,"$12,405,000.00 ",
2023,Dallas Mavericks,Richaun Holmes,"$12,046,020.00 ",
2023,Golden State Warriors,Stephen Curry,"$51,915,615.00 ",
2023,Golden State Warriors,Klay Thompson,"$43,219,440.00 ",
2023,Golden State Warriors,Chris Paul,"$30,800,000.00 ",
2023,Golden State Warriors,Andrew Wiggins,"$24,330,357.00 ",
2023,Golden State Warriors,Draymond Green,"$22,321,429.00 ",
2023,Indiana Pacers,Bruce Brown Jr.,"$22,000,000.00 ",
2023,Indiana Pacers,Myles Turner,"$20,975,000.00 ","$1,500,000.00 "
2023,Indiana Pacers,Buddy Hield,"$18,568,183.00 ","$711,660.00 "
2023,Indiana Pacers,Daniel Theis,"$9,108,386.00 ",
2023,Indiana Pacers,T.J. McConnell,"$8,700,000.00 ",
2023,LA Lakers,LeBron James,"$47,607,350.00 ",
2023,LA Lakers,Anthony Davis,"$40,600,080.00 ",
2023,LA Lakers,D'Angelo Russell,"$17,307,693.00 ",
2023,LA Lakers,Rui Hachimura,"$15,740,741.00 ",
2023,LA Lakers,Austin Reaves,"$12,015,150.00 ","$700,000.00 "
2023,Min Timberwolves,Rudy Gobert,"$41,000,000.00 ",
2023,Min Timberwolves,Karl-Anthony Towns,"$36,016,200.00 ",
2023,Min Timberwolves,Mike Conley,"$24,360,000.00 ","$1,500,000.00 "
2023,Min Timberwolves,Anthony Edwards,"$13,534,817.00 ",
2023,Min Timberwolves,Naz Reid,"$12,950,400.00 ",
2023,New York Knicks,Jalen Brunson,"$26,346,666.00 ",
2023,New York Knicks,Julius Randle,"$25,660,800.00 ",
2023,New York Knicks,R.J. Barrett,"$23,883,929.00 ","$2,901,790.00 "
2023,New York Knicks,Evan Fournier,"$18,857,143.00 ","$1,500,000.00 "
2023,New York Knicks,Mitchell Robinson,"$15,681,818.00 ",
2023,OK City Thunder,Shai Gilgeous-Alexander,"$33,386,850.00 ",
2023,OK City Thunder,Davis Bertans,"$17,000,000.00 ",
2023,OK City Thunder,Luguentz Dort,"$15,277,778.00 ","$1,000,000.00 "
2023,OK City Thunder,Chet Holmgren,"$10,386,000.00 ",
2023,OK City Thunder,Victor Oladipo,"$9,450,000.00 ",
2023,Phoenix Suns,Bradley Beal,"$46,741,590.00 ",
2023,Phoenix Suns,Kevin Durant,"$46,407,433.00 ","$1,242,000.00 "
2023,Phoenix Suns,Devin Booker,"$36,016,200.00 ",
2023,Phoenix Suns,Deandre Ayton,"$32,459,438.00 ",
2023,Phoenix Suns,Eric Gordon,"$3,196,448.00 ",
2022,Atlanta Hawk,Trae Young,"$37,096,500.00 ",
2022,Atlanta Hawk,John Collins,"$23,500,000.00 ",
2022,Atlanta Hawk,Clint Capela,"$18,206,897.00 ",
2022,Atlanta Hawk,Bogdan Bogdanovic,"$18,000,000.00 ",
2022,Atlanta Hawk,Dejounte Murray,"$16,571,120.00 ",
2022,Chicago Bulls,Zach LaVine,"$37,096,500.00 ",
2022,Chicago Bulls,DeMar DeRozan,"$27,300,000.00 ",
2022,Chicago Bulls,Nikola Vucevic,"$22,000,000.00 ",
2022,Chicago Bulls,Lonzo Ball,"$19,534,884.00 ",
2022,Chicago Bulls,Alex Caruso,"$9,030,000.00 ",
2022,Dallas Mavericks,Luka Doncic,"$37,096,500.00 ",
2022,Dallas Mavericks,Kyrie Irving,"$36,503,300.00 ",
2022,Dallas Mavericks,Tim Hardaway Jr.,"$19,602,273.00 ",
2022,Dallas Mavericks,Davis Bertans,"$16,000,000.00 ",
2022,Dallas Mavericks,Christian Wood,"$14,317,459.00 ",
2022,Golden State Warriors,Stephen Curry,"$48,070,014.00 ",
2022,Golden State Warriors,Klay Thompson,"$40,600,080.00 ",
