Year,Team ,Player,Salary,Bonus
2023,Atlanta Dream,Cheyenne Parker,"$196,100.00 ",
2023,Atlanta Dream,Allisha Gray,"$169,600.00 ","$25,000.00 "
2023,Atlanta Dream,Danielle Robinson,"$155,000.00 ",
2023,Atlanta Dream,Monique Billings,"$145,000.00 ",
2023,Atlanta Dream,Nia Coffey,"$130,000.00 ",
2023,Chicago Sky,Kahleah Copper,"$205,000.00 ",
2023,Chicago Sky,Marina Mabrey,"$202,000.00 ",
2023,Chicago Sky,Isabelle Harrison,"$160,000.00 ",
2023,Chicago Sky,Courtney Williams,"$160,000.00 ",
2023,Chicago Sky,Elizabeth Williams,"$135,000.00 ",
2023,Dallas Wings,Arike Ogunbowale,"$234,936.00 ",
2023,Dallas Wings,Natasha Howard,"$227,900.00 ",
2023,Dallas Wings,Teira McCowan,"$190,000.00 ",
2023,Dallas Wings,Diamond DeShields,"$154,500.00 ",
2023,Dallas Wings,Satou Sabally,"$86,701.00 ",
2023,Indiana Fever,Kelsey Mitchell,"$206,000.00 ",
2023,Indiana Fever,Erica Wheeler,"$202,154.00 ",
2023,Indiana Fever,Victoria Vivians,"$135,000.00 ",
2023,Indiana Fever,Emma Cannon,"$80,000.00 ",
2023,Indiana Fever,Aliyah Boston,"$74,305.00 ",
2023,Los Angeles Sparks,Jasmine Thomas,"$190,000.00 ",
2023,Los Angeles Sparks,Azura Stevens,"$190,000.00 ",
2023,Los Angeles Sparks,Nneka Ogwumike,"$169,500.00 ",
2023,Los Angeles Sparks,Dearica Hamby,"$169,000.00 ",
2023,Los Angeles Sparks,Katie Lou Samuelson,"$130,000.00 ",
2023,Las Vegas Aces,A'ja Wilson,"$202,155.00 ",
2023,Las Vegas Aces,Kelsey Plum,"$200,000.00 ",
2023,Las Vegas Aces,Chelsea Gray,"$196,267.00 ",
2023,Las Vegas Aces,Jackie Young,"$165,000.00 ",
2023,Las Vegas Aces,Riquna Williams,"$149,350.00 ",
2023,Minnesota Lynx,Napheesa Collier,"$202,154.00 ",
2023,Minnesota Lynx,Kayla McBride,"$201,984.00 ",
2023,Minnesota Lynx,Aerial Powers,"$201,984.00 ",
2023,Minnesota Lynx,Natalie Achonwa,"$155,100.00 ",
2023,Minnesota Lynx,Tiffany Mitchell,"$135,000.00 ",
2023,New York Liberty,Jonquel Jones,"$211,150.00 ",
2023,New York Liberty,Betnijah Laney,"$201,984.00 ",
2023,New York Liberty,Courtney Vandersloot,"$189,000.00 ",
2023,New York Liberty,Breanna Stewart,"$175,000.00 ",
2023,New York Liberty,Stefanie Dolson,"$160,000.00 ",
2023,Phoenix Mercury,Diana Taurasi,"$234,936.00 ",
2023,Phoenix Mercury,Skylar Diggins-Smith,"$234,350.00 ",
2023,Phoenix Mercury,Brittney Griner,"$165,100.00 ",
2023,Phoenix Mercury,Sophie Cunningham,"$150,000.00 ",
2023,Phoenix Mercury,Brianna Turner,"$150,000.00 ",
2023,Seattle Storm,Jewell Loyd,"$234,936.00 ",
2023,Seattle Storm,Mercedes Russell,"$160,000.00 ",
2023,Seattle Storm,Ezi Magbegor,"$159,650.00 ",
2023,Seattle Storm,Sami Whitcomb,"$142,500.00 ",
2023,Seattle Storm,Kia Nurse,"$142,500.00 ",
2022,Atlanta Dream,Tiffany Hayes,"$215,000.00 ",
2022,Atlanta Dream,Cheyenne Parker,"$190,550.00 ",
2022,Atlanta Dream,Erica Wheeler,"$185,400.00 ",
2022,Atlanta Dream,Monique Billings,"$140,000.00 ",
2022,Atlanta Dream,Nia Coffey,"$130,000.00 ",
2022,Chicago Sky,Kahleah Copper,"$200,000.00 ",
2022,Chicago Sky,Candace Parker,"$195,000.00 ",
2022,Chicago Sky,Courtney Vandersloot,"$195,000.00 ",
2022,Chicago Sky,Emma Meesseman,"$185,000.00 ",
2022,Chicago Sky,Azura Stevens,"$140,000.00 ",
2022,Dallas Wings,Allisha Gray,"$164,800.00 ",
2022,Dallas Wings,Isabelle Harrison,"$159,000.00 ",
2022,Dallas Wings,Kayla Thornton,"$107,040.00 ",
2022,Dallas Wings,Satou Sabally,"$76,297.00 ",
2022,Dallas Wings,Tyasha Harris,"$73,211.00 ",
2022,Indiana Fever,Kelsey Mitchell,"$200,000.00 ",
2022,Indiana Fever,Danielle Robinson,"$155,000.00 ",
2022,Indiana Fever,Tiffany Mitchell,"$148,400.00 ",
2022,Indiana Fever,Emily Engstler,"$72,141.00 ",
2022,Indiana Fever,NaLyssa Smith,"$72,141.00 ",
2022,Los Angeles Sparks,Nneka Ogwumike,"$196,267.00 ",
2022,Los Angeles Sparks,Kristi Toliver,"$196,100.00 ",
2022,Los Angeles Sparks,Amanda Zahui B,"$139,000.00 ",
2022,Los Angeles Sparks,Chiney Ogwumike,"$116,390.00 ",
2022,Los Angeles Sparks,Brittney Sykes,"$113,300.00 ",
2022,Las Vegas Aces,Chelsea Gray,"$206,267.00 ",
2022,Las Vegas Aces,A'ja Wilson,"$196,267.00 ",
2022,Las Vegas Aces,Kelsey Plum,"$180,250.00 ",
2022,Las Vegas Aces,Dearica Hamby,"$152,800.00 ",
2022,Las Vegas Aces,Riquna Williams,"$145,000.00 ",
2022,Minnesota Lynx,Sylvia Fowles,"$200,000.00 ",
2022,Minnesota Lynx,Kayla McBride,"$196,267.00 ",
2022,Minnesota Lynx,Aerial Powers,"$196,267.00 ",
2022,Minnesota Lynx,Natalie Achonwa,"$160,000.00 ",
2022,Minnesota Lynx,Damiris Dantas,"$129,150.00 ",
2022,New York Liberty,Natasha Howard,"$221,450.00 ",
2022,New York Liberty,Betnijah Laney,"$196,267.00 ",
